2025-08-05 09:49:43,456 | INFO | Will watch for changes in these directories: ['C:\\Users\\james\\AISD\\ACADES\\AIFarmer-pureAI\\innerAI']
2025-08-05 09:50:01,112 | INFO | 1 change detected
2025-08-05 09:50:01,517 | INFO | 1 change detected
2025-08-05 09:50:01,931 | INFO | 1 change detected
2025-08-05 09:50:02,346 | INFO | 1 change detected
2025-08-05 09:50:02,711 | INFO | 1 change detected
2025-08-05 09:50:03,116 | INFO | 1 change detected
2025-08-05 09:50:03,518 | INFO | 1 change detected
2025-08-05 09:50:03,935 | INFO | 1 change detected
2025-08-05 09:50:04,342 | INFO | 1 change detected
2025-08-05 09:50:04,745 | INFO | 1 change detected
2025-08-05 09:50:05,134 | INFO | 1 change detected
2025-08-05 09:50:05,548 | INFO | 1 change detected
2025-08-05 09:50:05,954 | INFO | 1 change detected
2025-08-05 09:50:06,361 | INFO | 1 change detected
2025-08-05 09:50:06,766 | INFO | 1 change detected
2025-08-05 09:50:07,177 | INFO | 1 change detected
2025-08-05 09:50:07,594 | INFO | 1 change detected
2025-08-05 09:50:08,013 | INFO | 1 change detected
2025-08-05 09:50:08,427 | INFO | 1 change detected
2025-08-05 09:50:08,834 | INFO | 1 change detected
2025-08-05 09:50:09,198 | INFO | 1 change detected
2025-08-05 09:50:09,605 | INFO | 1 change detected
2025-08-05 09:50:10,017 | INFO | 1 change detected
2025-08-05 09:50:10,432 | INFO | 1 change detected
2025-08-05 09:50:10,849 | INFO | 1 change detected
2025-08-05 09:50:11,253 | INFO | 1 change detected
2025-08-05 09:50:11,656 | INFO | 1 change detected
2025-08-05 09:50:12,059 | INFO | 1 change detected
2025-08-05 09:50:12,475 | INFO | 1 change detected
2025-08-05 09:50:12,879 | INFO | 1 change detected
2025-08-05 09:50:13,246 | INFO | 1 change detected
2025-08-05 09:50:13,650 | INFO | 1 change detected
2025-08-05 09:50:14,068 | INFO | 1 change detected
2025-08-05 09:50:14,469 | INFO | 1 change detected
2025-08-05 09:50:14,878 | INFO | 1 change detected
2025-08-05 09:50:15,294 | INFO | 1 change detected
2025-08-05 09:50:15,699 | INFO | 1 change detected
2025-08-05 09:50:16,105 | INFO | 1 change detected
2025-08-05 09:50:16,484 | INFO | 1 change detected
2025-08-05 09:50:16,891 | INFO | 1 change detected
2025-08-05 09:50:17,307 | INFO | 1 change detected
2025-08-05 09:50:17,712 | INFO | 1 change detected
2025-08-05 09:50:18,118 | INFO | 1 change detected
2025-08-05 09:50:18,521 | INFO | 1 change detected
2025-08-05 09:50:18,924 | INFO | 1 change detected
2025-08-05 09:50:19,332 | INFO | 1 change detected
2025-08-05 09:50:19,739 | INFO | 1 change detected
2025-08-05 09:50:20,146 | INFO | 1 change detected
2025-08-05 09:50:20,553 | INFO | 1 change detected
2025-08-05 09:50:20,960 | INFO | 1 change detected
2025-08-05 09:50:21,365 | INFO | 1 change detected
2025-08-05 09:50:21,767 | INFO | 1 change detected
2025-08-05 09:50:22,172 | INFO | 1 change detected
2025-08-05 09:50:22,536 | INFO | 1 change detected
2025-08-05 09:50:22,941 | INFO | 1 change detected
2025-08-05 09:50:23,347 | INFO | 1 change detected
2025-08-05 09:50:23,763 | INFO | 1 change detected
2025-08-05 09:50:24,167 | INFO | 1 change detected
2025-08-05 09:50:24,574 | INFO | 1 change detected
2025-08-05 09:50:24,992 | INFO | 1 change detected
2025-08-05 09:50:25,410 | INFO | 1 change detected
2025-08-05 09:50:25,777 | INFO | 1 change detected
2025-08-05 09:50:26,187 | INFO | 1 change detected
2025-08-05 09:50:26,591 | INFO | 1 change detected
2025-08-05 09:50:26,994 | INFO | 1 change detected
2025-08-05 09:50:27,406 | INFO | 1 change detected
2025-08-05 09:50:27,772 | INFO | 1 change detected
2025-08-05 09:50:28,178 | INFO | 1 change detected
2025-08-05 09:50:28,583 | INFO | 1 change detected
2025-08-05 09:50:28,988 | INFO | 1 change detected
2025-08-05 09:50:29,393 | INFO | 1 change detected
2025-08-05 09:50:29,809 | INFO | 1 change detected
2025-08-05 09:50:30,218 | INFO | 1 change detected
2025-08-05 09:50:30,626 | INFO | 1 change detected
2025-08-05 09:50:30,988 | INFO | 1 change detected
2025-08-05 09:50:31,399 | INFO | 1 change detected
2025-08-05 09:50:31,804 | INFO | 1 change detected
2025-08-05 09:50:32,210 | INFO | 1 change detected
2025-08-05 09:50:32,669 | INFO | 1 change detected
2025-08-05 09:50:33,033 | INFO | 1 change detected
2025-08-05 09:50:33,443 | INFO | 1 change detected
2025-08-05 09:50:33,881 | INFO | 1 change detected
2025-08-05 09:50:34,260 | INFO | 1 change detected
2025-08-05 09:50:34,696 | INFO | 1 change detected
2025-08-05 09:50:35,202 | INFO | 1 change detected
2025-08-05 09:50:35,673 | INFO | 1 change detected
2025-08-05 09:50:36,036 | INFO | 1 change detected
2025-08-05 09:50:36,451 | INFO | 1 change detected
2025-08-05 09:50:36,855 | INFO | 1 change detected
2025-08-05 09:50:37,272 | INFO | 1 change detected
2025-08-05 09:50:37,650 | INFO | 1 change detected
2025-08-05 09:50:38,060 | INFO | 1 change detected
2025-08-05 09:50:38,474 | INFO | 1 change detected
2025-08-05 09:50:38,882 | INFO | 1 change detected
2025-08-05 09:50:39,301 | INFO | 1 change detected
2025-08-05 09:50:39,705 | INFO | 1 change detected
2025-08-05 09:50:40,126 | INFO | 1 change detected
2025-08-05 09:50:40,488 | INFO | 1 change detected
2025-08-05 09:50:40,899 | INFO | 1 change detected
2025-08-05 09:50:41,315 | INFO | 1 change detected
2025-08-05 09:50:41,679 | INFO | 1 change detected
2025-08-05 09:50:42,099 | INFO | 1 change detected
2025-08-05 09:50:42,504 | INFO | 1 change detected
2025-08-05 09:50:42,909 | INFO | 1 change detected
2025-08-05 09:50:43,323 | INFO | 1 change detected
2025-08-05 09:50:43,688 | INFO | 1 change detected
2025-08-05 09:50:44,108 | INFO | 1 change detected
2025-08-05 09:50:44,517 | INFO | 1 change detected
2025-08-05 09:50:44,931 | INFO | 1 change detected
2025-08-05 09:50:45,333 | INFO | 1 change detected
2025-08-05 09:50:45,730 | ERROR | {'prompt': "You are a chatbot acting as an expert agronomist and agricultural extension officer with deep knowledge of Malawian smallholder farming. Your role is to answer farmer questions related to:\n\nGeneral agricultural practices, Identification and treatment of crop pests and diseases, Context-aware planting and harvesting advice\n\nYour responses must follow these guidelines:\n\nResponsiveness & Clarity:\nOnly respond to questions asked. Do not introduce new topics unprompted. If the question is missing important details, ask for clarification. Examples: “Which crop are you growing?”, “Can you tell me where you are located?”, “What does the disease look like?” \nIf a question is vague, mistyped, or unclear, respond with your best guess, then explicitly ask for clarification.\n\ne.g., “It sounds like you're asking about when to plant maize. Can you confirm or give more details?”\n\nLanguage:\nRespond in English or Chichewa, depending on the farmer’s input. Keep answers simple, respectful, and practical.\n\nContextual Relevance:\nIf the farmer’s location is given, tailor advice to that specific region (e.g., Northern, Central, Southern Malawi). If location is unknown, either ask or give the most widely applicable advice.The same applies to weather data or seasonal calendars; use it when available, or explain when you’re generalizing.\n\nResources:\nInclude links to guides or documents when useful. All external resources must come from a pre-approved set (to be defined later). Clearly label the links and briefly explain what the farmer can find there.\n\nAvoid:\nOverly technical language (unless explained simply). Guessing without signaling uncertainty or seeking confirmation.Providing the same generic advice to all questions. Ask before assuming.\n\nYour goal is to act like a trusted advisor when real extension officers aren't available, ensuring each farmer gets reliable, contextual, and respectful support.\n\nHere is your first prompt:\nWhen is the best time to plant maize?", 'metadata': {}, 'model': 'models/gemini-2.0-flash', 'response': "It sounds like you're asking about when to plant maize. To give you the best advice, I need a little more information. Can you tell me where you are located in Malawi? Knowing your region (Northern, Central, or Southern Malawi) will help me give you the most accurate planting dates.washington", 'latency_sec': 1.396, 'status': 'error', 'error': "[Errno 2] No such file or directory: 'logs/1754401844_333553.json'"}
2025-08-05 09:50:45,750 | INFO | 1 change detected
2025-08-05 09:50:46,114 | INFO | 1 change detected
2025-08-05 09:50:46,527 | INFO | 1 change detected
2025-08-05 09:50:46,929 | INFO | 1 change detected
2025-08-05 09:50:47,334 | INFO | 1 change detected
2025-08-05 09:50:47,750 | INFO | 1 change detected
2025-08-05 09:50:48,116 | INFO | 1 change detected
2025-08-05 09:50:48,522 | INFO | 1 change detected
2025-08-05 09:50:48,925 | INFO | 1 change detected
2025-08-05 09:50:49,343 | INFO | 1 change detected
2025-08-05 09:50:49,759 | INFO | 1 change detected
2025-08-05 09:50:50,123 | INFO | 1 change detected
2025-08-05 09:50:50,526 | INFO | 1 change detected
2025-08-05 09:50:50,937 | INFO | 1 change detected
2025-08-05 09:50:51,352 | INFO | 1 change detected
2025-08-05 09:50:51,754 | INFO | 1 change detected
2025-08-05 09:50:52,159 | INFO | 1 change detected
2025-08-05 09:50:52,563 | INFO | 1 change detected
2025-08-05 09:50:52,967 | INFO | 1 change detected
2025-08-05 09:50:53,377 | INFO | 1 change detected
2025-08-05 09:50:53,795 | INFO | 1 change detected
2025-08-05 09:50:54,201 | INFO | 1 change detected
2025-08-05 09:50:54,566 | INFO | 1 change detected
2025-08-05 09:50:54,972 | INFO | 1 change detected
2025-08-05 09:50:55,377 | INFO | 1 change detected
2025-08-05 09:50:55,464 | ERROR | {'prompt': "You are a chatbot acting as an expert agronomist and agricultural extension officer with deep knowledge of Malawian smallholder farming. Your role is to answer farmer questions related to:\n\nGeneral agricultural practices, Identification and treatment of crop pests and diseases, Context-aware planting and harvesting advice\n\nYour responses must follow these guidelines:\n\nResponsiveness & Clarity:\nOnly respond to questions asked. Do not introduce new topics unprompted. If the question is missing important details, ask for clarification. Examples: “Which crop are you growing?”, “Can you tell me where you are located?”, “What does the disease look like?” \nIf a question is vague, mistyped, or unclear, respond with your best guess, then explicitly ask for clarification.\n\ne.g., “It sounds like you're asking about when to plant maize. Can you confirm or give more details?”\n\nLanguage:\nRespond in English or Chichewa, depending on the farmer’s input. Keep answers simple, respectful, and practical.\n\nContextual Relevance:\nIf the farmer’s location is given, tailor advice to that specific region (e.g., Northern, Central, Southern Malawi). If location is unknown, either ask or give the most widely applicable advice.The same applies to weather data or seasonal calendars; use it when available, or explain when you’re generalizing.\n\nResources:\nInclude links to guides or documents when useful. All external resources must come from a pre-approved set (to be defined later). Clearly label the links and briefly explain what the farmer can find there.\n\nAvoid:\nOverly technical language (unless explained simply). Guessing without signaling uncertainty or seeking confirmation.Providing the same generic advice to all questions. Ask before assuming.\n\nYour goal is to act like a trusted advisor when real extension officers aren't available, ensuring each farmer gets reliable, contextual, and respectful support.\n\nHere is your first prompt:\nWhen is the best time to plant maize?", 'metadata': {}, 'model': 'models/gemini-2.0-flash', 'response': "It sounds like you're asking about when to plant maize. To give you the best advice, I need a little more information. Can you tell me where you are located in Malawi? That will help me give you the most accurate planting times for your region. washington", 'latency_sec': 0.853, 'status': 'error', 'error': "[Errno 2] No such file or directory: 'logs/1754401854_6119452.json'"}
2025-08-05 09:50:55,782 | INFO | 1 change detected
2025-08-05 09:50:56,186 | INFO | 1 change detected
2025-08-05 09:50:56,589 | INFO | 1 change detected
2025-08-05 09:50:56,993 | INFO | 1 change detected
2025-08-05 09:50:57,397 | INFO | 1 change detected
2025-08-05 09:50:57,800 | INFO | 1 change detected
2025-08-05 09:50:58,204 | INFO | 1 change detected
2025-08-05 09:50:58,610 | INFO | 1 change detected
2025-08-05 09:50:59,015 | INFO | 1 change detected
2025-08-05 09:50:59,418 | INFO | 1 change detected
2025-08-05 09:50:59,820 | INFO | 1 change detected
2025-08-05 09:51:00,226 | INFO | 1 change detected
2025-08-05 09:51:00,644 | INFO | 1 change detected
2025-08-05 09:51:01,051 | INFO | 1 change detected
2025-08-05 09:51:01,460 | INFO | 1 change detected
2025-08-05 09:51:01,863 | INFO | 1 change detected
2025-08-05 09:51:02,270 | INFO | 1 change detected
2025-08-05 09:51:02,637 | INFO | 1 change detected
2025-08-05 09:51:03,053 | INFO | 1 change detected
2025-08-05 09:51:03,460 | INFO | 1 change detected
2025-08-05 09:51:03,862 | INFO | 1 change detected
2025-08-05 09:51:04,266 | INFO | 1 change detected
2025-08-05 09:51:04,681 | INFO | 1 change detected
2025-08-05 09:51:05,087 | INFO | 1 change detected
2025-08-05 09:51:05,490 | INFO | 1 change detected
2025-08-05 09:51:05,897 | INFO | 1 change detected
2025-08-05 09:51:06,313 | INFO | 1 change detected
2025-08-05 09:51:06,716 | INFO | 1 change detected
2025-08-05 09:51:07,120 | INFO | 1 change detected
2025-08-05 09:51:07,524 | INFO | 1 change detected
2025-08-05 09:51:07,939 | INFO | 1 change detected
2025-08-05 09:51:08,341 | INFO | 1 change detected
2025-08-05 09:51:08,744 | INFO | 1 change detected
2025-08-05 09:51:09,149 | INFO | 1 change detected
2025-08-05 09:51:09,553 | INFO | 1 change detected
2025-08-05 09:51:09,912 | INFO | 1 change detected
2025-08-05 09:51:10,319 | INFO | 1 change detected
2025-08-05 09:51:10,721 | INFO | 1 change detected
2025-08-05 09:51:11,136 | INFO | 1 change detected
2025-08-05 09:51:11,540 | INFO | 1 change detected
2025-08-05 09:51:11,957 | INFO | 1 change detected
2025-08-05 09:51:12,361 | INFO | 1 change detected
2025-08-05 09:51:12,778 | INFO | 1 change detected
2025-08-05 09:51:13,134 | INFO | 1 change detected
2025-08-05 09:51:13,543 | INFO | 1 change detected
2025-08-05 09:51:13,951 | INFO | 1 change detected
2025-08-05 09:51:14,476 | INFO | 1 change detected
2025-08-05 09:51:14,884 | INFO | 1 change detected
2025-08-05 09:51:15,291 | INFO | 1 change detected
2025-08-05 09:51:15,693 | INFO | 1 change detected
2025-08-05 09:51:16,114 | INFO | 1 change detected
2025-08-05 09:51:16,518 | INFO | 1 change detected
2025-08-05 09:51:16,920 | INFO | 1 change detected
2025-08-05 09:51:17,323 | INFO | 1 change detected
2025-08-05 09:51:17,726 | INFO | 1 change detected
2025-08-05 09:51:18,132 | INFO | 1 change detected
2025-08-05 09:51:18,537 | INFO | 1 change detected
2025-08-05 09:51:18,940 | INFO | 1 change detected
2025-08-05 09:51:19,344 | INFO | 1 change detected
2025-08-05 09:51:19,753 | INFO | 1 change detected
2025-08-05 09:51:20,169 | INFO | 1 change detected
2025-08-05 09:51:20,584 | INFO | 1 change detected
2025-08-05 09:51:20,994 | INFO | 1 change detected
2025-08-05 09:51:21,397 | INFO | 1 change detected
2025-08-05 09:51:21,802 | INFO | 1 change detected
2025-08-05 09:51:22,165 | INFO | 1 change detected
2025-08-05 09:51:22,629 | INFO | 1 change detected
2025-08-05 09:51:22,990 | INFO | 1 change detected
2025-08-05 09:51:23,403 | INFO | 1 change detected
2025-08-05 09:51:23,809 | INFO | 1 change detected
2025-08-05 09:51:24,213 | INFO | 1 change detected
2025-08-05 09:51:24,616 | INFO | 1 change detected
2025-08-05 09:51:25,020 | INFO | 1 change detected
2025-08-05 09:51:25,435 | INFO | 1 change detected
2025-08-05 09:51:25,839 | INFO | 1 change detected
2025-08-05 09:51:26,242 | INFO | 1 change detected
2025-08-05 09:51:26,643 | INFO | 1 change detected
2025-08-05 09:51:27,048 | INFO | 1 change detected
2025-08-05 09:51:27,451 | INFO | 1 change detected
2025-08-05 09:51:27,853 | INFO | 1 change detected
2025-08-05 09:51:28,258 | INFO | 1 change detected
2025-08-05 09:51:28,661 | INFO | 1 change detected
2025-08-05 09:51:29,062 | INFO | 1 change detected
2025-08-05 09:51:29,467 | INFO | 1 change detected
2025-08-05 09:51:29,871 | INFO | 1 change detected
2025-08-05 09:51:30,282 | INFO | 1 change detected
2025-08-05 09:51:30,646 | INFO | 1 change detected
2025-08-05 09:51:31,055 | INFO | 1 change detected
2025-08-05 09:51:31,459 | INFO | 1 change detected
2025-08-05 09:51:31,866 | INFO | 1 change detected
2025-08-05 09:51:32,283 | INFO | 1 change detected
2025-08-05 09:51:32,687 | INFO | 1 change detected
2025-08-05 09:51:33,091 | INFO | 1 change detected
2025-08-05 09:51:33,495 | INFO | 1 change detected
2025-08-05 09:51:33,898 | INFO | 1 change detected
2025-08-05 09:51:34,303 | INFO | 1 change detected
2025-08-05 09:51:34,710 | INFO | 1 change detected
2025-08-05 09:51:35,075 | INFO | 1 change detected
2025-08-05 09:51:35,481 | INFO | 1 change detected
2025-08-05 09:51:35,899 | INFO | 1 change detected
2025-08-05 09:51:36,315 | INFO | 1 change detected
2025-08-05 09:51:36,674 | INFO | 1 change detected
2025-08-05 09:51:37,081 | INFO | 1 change detected
2025-08-05 09:51:37,483 | INFO | 1 change detected
2025-08-05 09:51:37,901 | INFO | 1 change detected
2025-08-05 09:51:38,303 | INFO | 1 change detected
2025-08-05 09:51:38,720 | INFO | 1 change detected
2025-08-05 09:51:39,074 | INFO | 1 change detected
2025-08-05 09:51:39,490 | INFO | 1 change detected
2025-08-05 09:51:39,931 | INFO | 1 change detected
2025-08-05 09:51:40,335 | INFO | 1 change detected
2025-08-05 09:51:40,737 | INFO | 1 change detected
2025-08-05 09:51:41,144 | INFO | 1 change detected
2025-08-05 09:51:41,548 | INFO | 1 change detected
2025-08-05 09:51:41,953 | INFO | 1 change detected
2025-08-05 09:51:42,358 | INFO | 1 change detected
2025-08-05 09:51:42,769 | INFO | 1 change detected
2025-08-05 09:51:43,186 | INFO | 1 change detected
2025-08-05 09:51:43,591 | INFO | 1 change detected
2025-08-05 09:51:43,957 | INFO | 1 change detected
2025-08-05 09:51:44,372 | INFO | 1 change detected
2025-08-05 09:51:44,775 | INFO | 1 change detected
2025-08-05 09:51:45,180 | INFO | 1 change detected
2025-08-05 09:51:45,593 | INFO | 1 change detected
2025-08-05 09:51:46,000 | INFO | 1 change detected
2025-08-05 09:51:46,402 | INFO | 1 change detected
2025-08-05 09:51:46,813 | INFO | 1 change detected
2025-08-05 09:51:47,215 | INFO | 1 change detected
2025-08-05 09:51:47,618 | INFO | 1 change detected
2025-08-05 09:51:48,036 | INFO | 1 change detected
2025-08-05 09:51:48,441 | INFO | 1 change detected
2025-08-05 09:51:48,848 | INFO | 1 change detected
2025-08-05 09:51:49,214 | INFO | 1 change detected
2025-08-05 09:51:49,621 | INFO | 1 change detected
2025-08-05 09:51:50,025 | INFO | 1 change detected
2025-08-05 09:51:50,432 | INFO | 1 change detected
2025-08-05 09:51:50,834 | INFO | 1 change detected
2025-08-05 09:51:51,242 | INFO | 1 change detected
2025-08-05 09:51:51,607 | INFO | 1 change detected
2025-08-05 09:51:52,016 | INFO | 1 change detected
2025-08-05 09:51:52,419 | INFO | 1 change detected
2025-08-05 09:51:52,825 | INFO | 1 change detected
2025-08-05 09:51:53,229 | INFO | 1 change detected
2025-08-05 09:51:53,634 | INFO | 1 change detected
2025-08-05 09:51:54,048 | INFO | 1 change detected
2025-08-05 09:51:54,452 | INFO | 1 change detected
2025-08-05 09:51:54,855 | INFO | 1 change detected
2025-08-05 09:51:55,258 | INFO | 1 change detected
2025-08-05 09:51:55,661 | INFO | 1 change detected
2025-08-05 09:51:56,067 | INFO | 1 change detected
2025-08-05 09:51:56,471 | INFO | 1 change detected
2025-08-05 09:51:56,874 | INFO | 1 change detected
2025-08-05 09:51:57,279 | INFO | 1 change detected
2025-08-05 09:51:57,695 | INFO | 1 change detected
2025-08-05 09:51:58,098 | INFO | 1 change detected
2025-08-05 09:51:58,504 | INFO | 1 change detected
2025-08-05 09:51:58,870 | INFO | 1 change detected
2025-08-05 09:51:59,277 | INFO | 1 change detected
2025-08-05 09:51:59,682 | INFO | 1 change detected
2025-08-05 09:52:00,084 | INFO | 1 change detected
2025-08-05 09:52:00,490 | INFO | 1 change detected
2025-08-05 09:52:00,909 | INFO | 1 change detected
2025-08-05 09:52:01,324 | INFO | 1 change detected
2025-08-05 09:52:01,729 | INFO | 1 change detected
2025-08-05 09:52:02,147 | INFO | 1 change detected
2025-08-05 09:52:02,509 | INFO | 1 change detected
2025-08-05 09:52:02,914 | INFO | 1 change detected
2025-08-05 09:52:03,234 | ERROR | {'prompt': 'Hi, could you write me a poem?', 'metadata': {}, 'model': 'models/gemini-2.0-flash', 'response': "Okay, washington here's a poem for you:\n\nThe wind whispers secrets through leaves of jade,\nA sunbeam dances, a playful cascade.\nThe river murmurs a song old and deep,\nWhile weary travelers drift off to sleep.\n\nA robin sings sweetly, a melody bright,\nChasing away shadows with morning's soft light.\nThe world awakens, refreshed and anew,\nAnd dreams take flight on the morning dew.", 'latency_sec': 0.973, 'status': 'error', 'error': "[Errno 2] No such file or directory: 'logs/1754401922_2616942.json'"}
2025-08-05 09:52:03,330 | INFO | 1 change detected
2025-08-05 09:52:03,734 | INFO | 1 change detected
2025-08-05 09:52:04,140 | INFO | 1 change detected
2025-08-05 09:52:04,543 | INFO | 1 change detected
2025-08-05 09:52:04,947 | INFO | 1 change detected
2025-08-05 09:52:05,351 | INFO | 1 change detected
2025-08-05 09:52:05,767 | INFO | 1 change detected
2025-08-05 09:52:06,174 | INFO | 1 change detected
2025-08-05 09:52:06,541 | INFO | 1 change detected
2025-08-05 09:52:06,946 | INFO | 1 change detected
2025-08-05 09:52:07,352 | INFO | 1 change detected
2025-08-05 09:52:07,756 | INFO | 1 change detected
2025-08-05 09:52:08,159 | INFO | 1 change detected
2025-08-05 09:52:08,561 | INFO | 1 change detected
2025-08-05 09:52:08,966 | INFO | 1 change detected
2025-08-05 09:52:09,390 | INFO | 1 change detected
2025-08-05 09:52:09,852 | INFO | 1 change detected
2025-08-05 09:52:10,279 | INFO | 1 change detected
2025-08-05 09:52:10,632 | INFO | 1 change detected
2025-08-05 09:52:11,037 | INFO | 1 change detected
2025-08-05 09:52:11,440 | INFO | 1 change detected
2025-08-05 09:52:11,843 | INFO | 1 change detected
2025-08-05 09:52:12,260 | INFO | 1 change detected
2025-08-05 09:52:12,663 | INFO | 1 change detected
2025-08-05 09:52:13,065 | INFO | 1 change detected
2025-08-05 09:52:13,471 | INFO | 1 change detected
2025-08-05 09:52:13,874 | INFO | 1 change detected
2025-08-05 09:52:14,280 | INFO | 1 change detected
2025-08-05 09:52:14,684 | INFO | 1 change detected
2025-08-05 09:52:15,088 | INFO | 1 change detected
2025-08-05 09:52:15,503 | INFO | 1 change detected
2025-08-05 09:52:15,906 | INFO | 1 change detected
2025-08-05 09:52:16,271 | INFO | 1 change detected
2025-08-05 09:52:16,678 | INFO | 1 change detected
2025-08-05 09:52:17,094 | INFO | 1 change detected
2025-08-05 09:52:17,498 | INFO | 1 change detected
2025-08-05 09:52:17,903 | INFO | 1 change detected
2025-08-05 09:52:18,318 | INFO | 1 change detected
2025-08-05 09:52:18,719 | INFO | 1 change detected
2025-08-05 09:52:19,122 | INFO | 1 change detected
2025-08-05 09:52:19,489 | INFO | 1 change detected
2025-08-05 09:52:19,894 | INFO | 1 change detected
2025-08-05 09:52:20,310 | INFO | 1 change detected
2025-08-05 09:52:20,713 | INFO | 1 change detected
2025-08-05 09:52:21,117 | INFO | 1 change detected
2025-08-05 09:52:21,534 | INFO | 1 change detected
2025-08-05 09:52:21,901 | INFO | 1 change detected
2025-08-05 09:52:22,306 | INFO | 1 change detected
2025-08-05 09:52:22,711 | INFO | 1 change detected
2025-08-05 09:52:23,116 | INFO | 1 change detected
2025-08-05 09:52:23,519 | INFO | 1 change detected
2025-08-05 09:52:23,921 | INFO | 1 change detected
2025-08-05 09:52:24,336 | INFO | 1 change detected
2025-08-05 09:52:24,753 | INFO | 1 change detected
2025-08-05 09:52:25,156 | INFO | 1 change detected
2025-08-05 09:52:25,522 | INFO | 1 change detected
2025-08-05 09:52:25,928 | INFO | 1 change detected
2025-08-05 09:52:26,333 | INFO | 1 change detected
2025-08-05 09:52:26,738 | INFO | 1 change detected
2025-08-05 09:52:27,143 | INFO | 1 change detected
2025-08-05 09:52:27,550 | INFO | 1 change detected
2025-08-05 09:52:27,955 | INFO | 1 change detected
2025-08-05 09:52:28,359 | INFO | 1 change detected
2025-08-05 09:52:28,763 | INFO | 1 change detected
2025-08-05 09:52:29,167 | INFO | 1 change detected
2025-08-05 09:52:29,573 | INFO | 1 change detected
2025-08-05 09:52:29,975 | INFO | 1 change detected
2025-08-05 09:52:30,380 | INFO | 1 change detected
2025-08-05 09:52:30,785 | INFO | 1 change detected
2025-08-05 09:52:31,190 | INFO | 1 change detected
2025-08-05 09:52:31,596 | INFO | 1 change detected
2025-08-05 09:52:32,002 | INFO | 1 change detected
2025-08-05 09:52:32,404 | INFO | 1 change detected
2025-08-05 09:52:32,807 | INFO | 1 change detected
2025-08-05 09:52:33,209 | INFO | 1 change detected
2025-08-05 09:52:33,617 | INFO | 1 change detected
2025-08-05 09:52:34,033 | INFO | 1 change detected
2025-08-05 09:52:34,437 | INFO | 1 change detected
2025-08-05 09:52:34,842 | INFO | 1 change detected
2025-08-05 09:52:35,247 | INFO | 1 change detected
2025-08-05 09:52:35,650 | INFO | 1 change detected
2025-08-05 09:52:36,071 | INFO | 1 change detected
2025-08-05 09:52:36,487 | INFO | 1 change detected
2025-08-05 09:52:36,897 | INFO | 1 change detected
2025-08-05 09:52:37,309 | INFO | 1 change detected
